"Product","Prodotto"
"ID","ID"
"SKU","SKU"
"Apply","Applica"
"No","No"
"Yes","Sì"
"Web Site","Sito web"
"Status","Status"
"Save and Continue Edit","Salva e continua la modifica"
"Type","Tipo"
"Description","Descrizione"
"From","Da"
"To","A"
"Catalog","Catalogo"
"Actions","Azioni"
"Rule","Regola"
"Start on","Inizia il"
"End on","Finisce il"
"Active","Attivo"
"This rule no longer exists.","Questa regola non esiste più."
"General Information","Informazioni generali"
"Websites","Siti web"
"Attribute Set","Set attributi"
"Apply Rules","Applica regole"
"Catalog Price Rules","Regole prezzi del catalogo"
"Add New Rule","Aggiungi nuova regola"
"Save and Apply","Salva e applica"
"Edit Rule '%1'","Modifica regola '%1'"
"New Rule","Nuova regola"
"Rule Information","Informazioni regola"
"Update Prices Using the Following Information","Aggiornare i prezzi utilizzando le seguenti informazioni"
"By Percentage of the Original Price","Di una percentuale del prezzo originale"
"By Fixed Amount","Di un importo fisso"
"To Percentage of the Original Price","Di una percentuale del prezzo originale"
"To Fixed Amount","Di un importo fisso"
"Discount Amount","Importo sconto"
"Enable Discount to Subproducts","Abilita sconto per i sottoprodotti"
"Stop Further Rules Processing","Blocca l\'elaborazione di ulteriori regole"
"Conditions","Condizioni"
"Conditions (leave blank for all products)","Condizioni (lasciare bianco per tutti i prodotti)"
"Rule Name","Nome regola"
"Inactive","Inattiva"
"Customer Groups","Gruppi cliente"
"From Date","Dalla data"
"To Date","Alla data"
"Priority","Priorità"
"Catalog Price Rule","Regola di prezzo del catalogo"
"Promotions","Promozioni"
"Promo","Promo"
"New Catalog Price Rule","Nuova regola prezzo catalogo"
"Edit Rule","Modifica regola"
"Wrong rule specified.","Regola specificata errata."
"The rule has been saved.","La regola è stata salvata."
"An error occurred while saving the rule data. Please review the log and try again.","Si è verificato un errore durante il salvataggio dei dati della regola. Consultare il registro e riprovare."
"The rule has been deleted.","La regola è stata eliminata."
"An error occurred while deleting the rule. Please review the log and try again.","Si è verificato un errore durante l\'eliminazione della regola. Consultare il registro e riprovare."
"Unable to find a rule to delete.","Impossibile trovare la regola da eliminare."
"Unable to apply rules.","Impossibile applicare regole."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Ci sono delle regole che sono state modificate ma non sono state applicate. Premere Applica regole per vedere subito l\'effetto sul catalogo."
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","%1 regola di prezzo del catalogo basata sull\'attributo ""%2"" è stata disabilitata."
"Update the Product","Aggiorna il prodotto"
"Rule price","Regola prezzo"
"To Fixed Value","Di un valore fisso"
"To Percentage","Di una percentuale"
"By Fixed value","Di un valore fisso"
"By Percentage","DI un importo fisso"
"Update product's %1 %2: %3","Aggiorna dei prodotti %1 %2: %3"
"Conditions Combination","Combinazione condizioni"
"Product Attribute","Attributi prodotto"
"The rules have been applied.","Le regole sono state applicate."
