"Website is not specified","Sito web non specificato"
"E-mail is not specified","E-mail non specificata"
"Invalid value in website column","Valore non valido nella colonna sito web"
"E-mail is invalid","Indirizzo e-mail non valido"
"Required attribute '%s' has an empty value","L\'attributo obbligatorio '%s' è vuoto"
"Customer with such email and website code doesn't exist","Un cliente con questo indirizzo e-mail e codice sito web non esiste"
"Customer address id column is not specified","ID colonna indirizzo cliente non specificato"
"Customer address for such customer doesn't exist","L\'indirizzo per questo cliente non esiste."
"Region is invalid","La regione non è valida."
"Row with such email, website and address id combination was already found.","Una riga con questa combinazione di e-mail, sito web ed indirizzo è stata trovata."
"E-mail is duplicated in import file","Indirizzo e-mail duplicato nel file di importazione"
"Orphan rows that will be skipped due default row errors","Righe orfane che saranno saltate a seguito degli errori riga predefiniti"
"Invalid value in Store column (store does not exists?)","Valore non valido nella colonna negozio (negozio non esistente?)"
"E-mail and website combination is not found","Combinazione sito web ed indirizzo e-mail non trovata"
"Invalid password length","Lunghezza password non valida"
"CSV","CSV"
"Excel XML","Excel XML"
