"--Please Select--","--Selezionare--"
"Enabled","Abilitato"
"label","Etichetta"
"State/Province","Stato/provincia"
"Continue","Continua"
"We can't initialize the import model.","Impossibile inizializzare il modello di importazione"
"Currency","Valuta"
"Please correct the target currency.","Correggere la valuta obiettivo"
"Undefined rate from ""%1-%2"".","Tasso non definito da ""%1-%2""."
"We can't retrieve a rate from %1.","Impossibile recuperare un tasso da %1."
"FATAL ERROR:","ERRORE FATALE:"
"Please specify the correct Import Service.","Specificare il servizio di importazione corretto."
"WARNING:","ATTENZIONE:"
"Please correct the country code: %1.","Correggere il codice paese: %1."
"Country and Format Type combination should be unique","La combinazione paese e tipo di formato dovrebbero essere univoche"
"Please correct the rates received","Correggere i tassi ricevuti"
"--Please select--","--Selezionare--"
"Your current currency is: %1.","La valuta corrente è: %1."
"Start Time","Ora inizio"
"Frequency","Frequenza"
"Currency Setup","Impostazioni valuta"
"Currency Options","Opzioni valuta"
"Base Currency","Valuta di base"
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        La valuta di base viene utilizzata per tutte le transazioni di pagamento online. Se hai più di una vista negozio, l\'ambito di applicazione della valuta di base è definito dall\'ambito di applicazione del prezzo del catalogo (""Catalogo"" > ""Prezzo"" > ""Ambito prezzo catalogo"").
                    "
"Default Display Currency","Valuta predefinita visualizzata"
"Allowed Currencies","Valute consentite"
"Webservicex","Webservicex"
"Connection Timeout in Seconds","Tempo massimo connessione in secondi"
"Scheduled Import Settings","Impostazioni importazione programmata"
"Error Email Recipient","Errore destinatario email"
"Error Email Sender","Errore mittente email"
"Error Email Template","Errore template email"
"Service","Servizio"
"Installed Currencies","Valute installate"
"Zip/Postal Code is Optional for","Il codice postale è opzionale per"
"State Options","Opzioni stato"
"State is Required for","Stato è obbligatorio per"
"Allow to Choose State if It is Optional for Country","Consenti di scegliere stato se è opzionale per il paese"
