"Enable","Abilita"
"Dynamic","Dinamico"
"Constant","Costante"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Valore colore converrsione non valido ""%1"". Impostare un valore esadecimale a sei cifre."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Valore ID conversione non valido ""%1"". L\'ID di conversione deve essere un intero."
"Google AdWords","Google AdWords"
"Conversion ID","ID conversione"
"Conversion Language","Linguaggio di conversione"
"Conversion Format","Formato conversione"
"Conversion Color","Colore conversione"
"Conversion Label","Etichetta conversione"
"Conversion Value Type","Tipo valore conversione"
"Conversion Value","Valore conversione"
