"Cancel","Cancella"
"Price","Prezzo"
"ID","ID"
"SKU","SKU"
"Qty","Qtà"
"Name","Nome"
"Availability","Disponibilità"
"In stock","Disponibile"
"Out of stock","Non disponibile"
"Availability:","Disponibilità:"
"No options of this product are available.","Non sono disponibili opzioni di questo prodotto"
"Excl. Tax:","Tasse escluse:"
"Incl. Tax:","Tasse incluse:"
"Product Name","Nome prodotto"
"Associated Products","Prodotti associati"
"Grouped Products","Prodotti raggruppati"
"We cannot process the item.","Impossibile processare l\'articolo."
"Please specify the quantity of product(s).","Specificare la quantità del prodotto."
"There are no grouped products.","Non ci sono prodotti raggruppati."
"Default Qty","Qtà predefinita"
"Starting at:","A partire da:"
"Grouped product items","Articoli prodotto raggruppato"
"Add Selected Products","Aggiungi prodotti selezionati"
"Add Products to Group","Aggiungi prodotti al gruppo"
"Grouped Product Image","Immagine prodotto raggruppato"
