"Status","Status"
"Description","Descrizione"
"Never","Mai"
"Updated","Aggiornato"
"Mode","Modalità"
"Update on Save","Aggiornamento su salvataggio"
"Ready","pronto"
"Processing","Elaborazione"
"Indexer Management","Gestione indicizzatore"
"Update by Schedule","Aggiorna in base alla pianificazione"
"Reindex required","Reindicizzazione richiesta"
"Index Management","Gestione indice"
"Please select indexers.","Selezionare indicizzatori."
"A total of %1 indexer(s) have been turned Update on Save mode on.","Un totale di %1 indicizzatori ha abilitato la modalità Aggiornamento su salvataggio."
"We couldn't change indexer(s)' mode because of an error.","Impossibile cambiare modalità indicizzatori a causa di un errore."
"A total of %1 indexer(s) have been turned Update by Schedule mode on.","Un totale di %1 indicizzatori hanno abilitato la modalità Aggiorna in base alla pianificazione."
"State for the same indexer","Condizione per lo stesso indicizzatore"
"State for the same view","Condizione per la stessa vista"
"Indexer","Indicizzatore"
