"No","No"
"Previous","Precedente"
"Position","Posizione"
"Shop By","Acquista per"
"Shopping Options","Opzioni acquisto"
"Remove This Item","Rimuovi questo articolo"
"Clear All","Rimuovi tutto"
"Use In Layered Navigation","Utilizza nella navigazione a livelli"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Può essere usato solo con input catalogo di tipo menu a tendina, selezione multipla e prezzo"
"Filterable (with results)","Filtrabile (con risultati)"
"Filterable (no results)","Filtrabile (senza risultati)"
"Use In Search Results Layered Navigation","Usa nella navigazione a livelli dei risultati di ricerca"
"Position in Layered Navigation","Posizione nella navigazione a livelli"
"Position of attribute in layered navigation block","Posizione dell\'attributo nel blocco della navigazione a livelli"
"Use in Layered Navigation","Utilizza nella navigazione a livelli"
"Currently Shopping by:","Acquista per corrente:"
"Layered Navigation","Navigazione a livelli"
"Display Product Count","Mostra conteggio prodotto"
"Price Navigation Step Calculation","Calcolo intervallo prezzo nella navigazione"
"Default Price Navigation Step","Intervalli prezzo predefiniti per la navigazione"
"Maximum Number of Price Intervals","Numero massimo di intervalli prezzo"
"Maximum number of price intervals is 100","Il numero massimo di intervalli prezzo è 100"
"Display Price Interval as One Price","Mostra intervallo prezzo come un prezzo"
"This setting will be applied when all prices in the specific price interval are equal.","Questa impostazione verrà applicata quanto tutti i prezzi negli intervalli di prezzo specifici saranno uguali."
"Interval Division Limit","Limite intervallo di divisione"
"Please specify the number of products, that will not be divided into subintervals.","Specificare il numero di prodotti che non deve essere diviso in sotto-intervalli."
