"Export VCL","Esporta VCL"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Valore Ttl ""%1"" non valido. Utilizzare solo numero maggiori od uguali a zero."
"Built-in Application","Applicazione built-in"
"Varnish Caching","Strato cache"
"Full Page Cache","Cache dell\'intera pagina"
"Caching Application","Applicazione cache"
"Varnish Configuration","Configurazione strato"
"Access list","Lista accesso"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Lista degli IP di accesso separata da  ',' che possono la configurazione varnish per la configurazione della generazione dei file.
                            Se il campo è vuoto sarà salvato il valore predefinito localhost."
"Backend host","Backend host"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Specificare l'host del backend per la configurazione della generazione file. Se il campo è vuoto sarà salvato il valore predefinito localhost."
"Backend port","Porta backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Specificare la porta del backend per la configurazione della generazione dei file. Se il campo è vuoto verrà utilizzato il valore predefinito 8080."
"TTL for public content","TTL per i contenuti pubblici"
"Public content cache lifetime in seconds. If field is empty default value 120 will be saved. ","Durata cache contenuti pubblici (secondi). Se il campo è vuoto verrà utilizzato il valore predefinito di 120 secondi. "
"Page Cache","cache pagina"
"Full page caching.","Cache dell\'intera pagina"
