"All","Tutto"
"Close","Chiudi"
"Products","Prodotti"
"Apply","Applica"
"Design Theme","Design Theme"
"-- Please Select --","-- Selezionare --"
"Sort Order","Ordinamento"
"Save and Continue Edit","Salva e continua la modifica"
"Type","Tipo"
"Page","Pagina"
"label","Etichetta"
"Frontend Properties","Proprietà frontedn"
"Categories","Categorie"
"name","Nome"
"Continue","Continua"
"CMS","CMS"
"%1","%1"
"Open Chooser","Apri selettore"
"Settings","Impostazioni"
"Template","Template"
"Not Selected","Non selezionato"
"Widget Insertion","Inserimento widget"
"Insert Widget","Inserire widget"
"Choose...","Scegli..."
"Widget","Widget"
"Widget Type","Tipo widget"
"Manage Widget Instances","Gestisci istanze widget"
"Add New Widget Instance","Aggiungi nuova istanza widget"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Istanza nuovo widget"
"Custom Layouts","Layuout personalizzati"
"Page Layouts","Layout di pagina"
"Please Select Container First","Scegliere prima il contenitore"
"Design Package/Theme","Pacchetto design/tema"
"Widget Instance Title","Titolo istanza widget"
"Assign to Store Views","Assegna alle viste negozio"
"Sort Order of widget instances in the same container","Ordinamento istanze widget nello stesso contenitore"
"Layout Updates","Aggiornamenti layout"
"Anchor Categories","Categorie ancorate"
"Non-Anchor Categories","Categoria non ancorate"
"All Product Types","Tutti i tipi di prodotto"
"Generic Pages","Pagine generiche"
"All Pages","Tutte le pagine"
"Specified Page","Pagine specificate"
"Add Layout Update","Aggiungi aggiornamento layout"
"Remove Layout Update","Rimuovi aggiornamento layout"
"Widget Options","Opzioni widget"
"Widget Instance","Istanza widget"
"Please specify a Widget Type.","Specificare un tipo di widget."
"Frontend Apps","Applicazioni frontend"
"Please specify a correct widget.","Specificare un widget corretto."
"New Frontend App Instance","Istanza nuova applicazione frontend."
"The widget instance has been saved.","L\'istanza del widget è stata salvata."
"The widget instance has been deleted.","L\'istanza del widget è stata eliminata."
"description","descrizione"
"We cannot create the widget instance because it is missing required information.","Non è possibile creare l\'istanza del widget perché mancano le informazioni obbligatorie."
"Container","Contenitore"
"Specific %1","Specifico %1"
"Widget ID","Widget ID"
